case_id,n_boxes,dice,iou,runtime_s
benign_benign_1,1,0.192073,0.106239,0.001582
benign_benign_10,1,0.010739,0.005399,0.002442
benign_benign_100,2,0.158834,0.086268,0.001469
benign_benign_101,1,0.093634,0.049116,0.000615
benign_benign_102,1,0.254271,0.145653,0.001518
benign_benign_103,1,0.024368,0.012334,0.002804
benign_benign_104,1,0.211788,0.118436,0.000745
benign_benign_105,1,0.115492,0.061285,0.001070
benign_benign_106,1,0.022729,0.011495,0.001123
benign_benign_107,1,0.264151,0.152174,0.001557
